Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265039e-04 0.00073253013608069 0.0419708851635676 -5.36706938e-05 -7.32675392e-02 0.146535116807095 8.39584374350309 -0.01610334 -7.32674443 14.6535085172900 839.584193099722 L -5.22959454e-15 -3.43987627e-12 -4.10808265e-12 -4.49478236e-10 L  9.99999732e-01 -7.32530074e-04 -1.07341384e-04 -1.46535078e-01 L -0.0008593827555036772 -2002.1977012729626 L .00289759921277771 L -0.0028970238858919933 0.002897599212777719 -0.0028970238858919933 5.753268857255738e-07 
0.02 i  0.49999795 -0.00146481 0.002930399841352586 0.1678995431953092 -0.0004267  -0.14652832 0.293067881056853 16.79155269539973 -0.06441441 -7.32656746 14.65344953223739 839.580813505152 i 9.81493592e-08 3.84267566e-07 2.70624695e-06 4.99215117e-06 i  0.9999958  -0.00293001 -0.0008561  -0.29306163 i 12.983848368816894 -2002.2072123347514 i .0115896199335220 i -0.011586145036402687 0.01158961993352204 -0.011586145036402687 3.474897119352602e-06 
0.03 n  0.49998985 -0.00329366 0.00659281765951494 0.3777406269895235 -0.00142988 -0.21975514 0.439588796807566 25.1865827783074 -0.14491962 -7.32580078 14.65319399073155 839.566172055378 n 7.20887649e-07 2.72069791e-06 1.91749725e-05 3.44810566e-05 n  0.99997899 -0.00659005 -0.00287893 -0.43954476 n 51.93625521544116 -2002.3498957025251 n .0260702964608958 n -0.02605169208475501 0.02607029646089588 -0.02605169208475501 1.8604376140870377e-05 
0.04 k  0.49996716 -0.00585462 0.01172039050010840 0.671528909901435 -0.00339635 -0.29296435 0.586103690494046 33.58126782235072 -0.25761155 -7.32373678 14.65250600177387 839.526753191751 k 1.50618138e-06 5.44604190e-06 3.82543642e-05 6.73627452e-05 k  0.99993282 -0.01171468 -0.00683095 -0.58599607 k 116.84625564825441 -2002.968058491811 k .0463397502690163 k -0.046307885894143135 0.04633975026901638 -0.046307885894143135 3.186437487324306e-05 
0.05 '0'  0.49991825 -0.00914909 0.01831360031124005 1.049292005523526 -0.00665802 -0.3661585  0.732613781794402 41.97567770993748 -0.40246576 -7.3193848  14.65105521171176 839.44362904423 '0' 2.09928330e-06 7.20025143e-06 5.00067194e-05 8.69604443e-05 '0'  0.99983441 -0.01830538 -0.01336604 -0.73240397 '0' 207.7078621593022 -2004.632230003393 '0' .0724018137227947 '0' -0.0723659750702453 0.07240181372279471 -0.0723659750702453 3.583865254941365e-05 
0.06 '0'  0.49982843 -0.01317743 0.0263725661038861 1.511036732682451 -0.01154144 -0.43931688 0.879112387359264 50.3694295133558 -0.5794207  -7.31147187 14.6484168955205 839.292464661455 '0' 2.29444176e-06 7.32925473e-06 4.94402501e-05 8.64667680e-05 '0'  0.99965456 -0.02636218 -0.02313232 -0.87872022 '0' 324.5013757280069 -2008.1411542374062 '0' .1042591514900009 '0' -0.10422866463242922 0.10425915149000091 -0.10422866463242922 3.048685757169045e-05 
0.07 '2'  0.49967991 -0.01793889 0.03589704395189230 2.056749115439046 -0.01836783 -0.5123955  1.02558492081178 58.761687494774 -0.78835641 -7.2984444  14.64407222092515 839.043533143781 '1' 2.0258884e-06 5.7788606e-06 3.59470223e-05 6.66001192e-05 '1'  0.9993578  -0.03588356 -0.03677161 -1.02485761 '2' 467.1771712553684 -2014.5212192890313 '2' .1419097717978727 '2' -0.14189011601375226 0.14190977179787273 -0.14189011601375226 1.965578412047031e-05 
0.08 -  0.49945187 -0.02343166 0.046886426991973 2.68639438308832 -0.02745306 -0.58532716 1.172008892747647 67.1511631062409 -1.02906983 -7.27847143 14.63740871971071 838.661742647413 - 1.35175641e-06 2.96539602e-06 1.25338301e-05 3.32864596e-05 -  0.99890238 -0.04686628 -0.05491864 -1.17068761 - 635.638520062497 -2025.0250510981127 - .1853443007126757 - -0.1853359470609611 0.18534430071267574 -0.1853359470609611 8.353651714643195e-06 
0.09 -  0.49912039 -0.02965284 0.0593397454237125 3.399916970159469 -0.03910762 -0.65802137 1.318353910735044 75.536114989684 -1.30124691 -7.24944981 14.62772100475747 838.106677467467 {  4.29614114e-07 -3.76577413e-07 -1.51768207e-05 -4.61804755e-06 {  0.99824034 -0.0593053  -0.07820006 -1.31603811 - 829.721704224556 -2041.1289195430952 - .2345440000830688 - -0.23454323203449218 0.23454400008306883 -0.23454323203449218 7.680485766548006e-07 
0.1 -  0.49865848 -0.03659845 0.0732556665095637 4.19724051641585 -0.05363668 -0.73036438 1.464581679314698 83.9143489769148 -1.60443159 -7.20901182 14.61421177784323 837.332655780796 P -5.17922675e-07 -3.36898287e-06 -4.01973210e-05 -3.75444169e-05 P  0.99731749 -0.07319353 -0.10723317 -1.46069122 - 1049.1735074866144 -2064.528567219215 - .2894795260073864 - -0.2894805016084714 0.28947952600738647 -0.2894805016084714 -9.756010849182317e-07 
0.11 -  0.49803611 -0.04426343 0.0886324945748489 5.07826786685501 -0.07134007 -0.80221922 1.610645999999855 92.2832180896197 -1.93799189 -7.15453596 14.59599317945353 836.288806984423 o -1.24924829e-06 -5.18673993e-06 -5.56973342e-05 -5.73453023e-05 o  0.99607346 -0.08852168 -0.14262444 -1.60438109 - 1293.626211071208 -2097.1330324535593 - .3501104409042134 - -0.3501077428707138 0.35011044090421345 -0.3501077428707138 2.6980334996706823e-06 
0.12 -  0.49722013 -0.05264165 0.1054681710077599 6.04288107170867 -0.09251223 -0.87342563 1.75649277127628 100.6396225393688 -2.30108353 -7.08316127 14.57208853763820 834.91917189763 i -1.56344079e-06 -5.27524423e-06 -5.68161112e-05 -5.93195807e-05 i  0.99444182 -0.10527803 -0.18496764 -1.74679194 - 1562.570275756377 -2141.0560039389684 - .416385508484888 - -0.4163763993227246 0.4163855084848882 -0.4163763993227246 9.109162163623008e-06 
0.13 -  0.49617436 -0.06172588 0.1237602742593572 7.09094138644273 -0.11744228 -0.94380011 1.9020599886022 108.9800097276115 -2.69261122 -6.99180607 14.54143457825710 833.162829399730 n -1.37567894e-06 -3.58778698e-06 -4.27803704e-05 -4.40959453e-05 n  0.99235009 -0.12344817 -0.23484179 -1.88755612 - 1855.324954641398 -2198.6042164018904 - .488243817145829 - -0.4882293708796981 0.4882438171458297 -0.4882293708796981 1.4446266131618035e-05 
0.14 -  0.49485952 -0.07150783 0.143506019843571 8.22228927175726 -0.146414   -1.01313589 2.047277744408630 117.300374245677 -3.11118846 -6.8771916  14.50288416366200 830.954053344951 t -8.10690129e-07 -8.41656794e-07 -1.93402100e-05 -1.93401724e-05 t  0.98971986 -0.14301481 -0.29280865 -2.02625244 - 2171.0071542527216 -2272.2623767834248 - .565616793517848 - -0.5656010138705184 0.5656167935178485 -0.5656010138705184 1.577964733012749e-05 
0.15 -  0.49323329 -0.08197811 0.164702260337200 9.43674439358651 -0.17970578 -1.08120297 2.192068228098699 125.5962578747761 -3.55509611 -6.73587123 14.45520963085135 828.222503824643 O -3.16653277e-07  1.20858944e-06 -1.53169339e-06 -1.24651831e-06 A  0.9864669  -0.16395742 -0.35941003 -2.16240469 - 2508.4989450064495 -2364.674100566462 - .6484311841288 - -0.6484171410377584 0.64843118412886 -0.6484171410377584 1.4043091101645366e-05 
